time_ms,power_w,wall_time_str
3198,55.827,04:16:07.711
3199,55.827,04:16:07.711
3200,55.827,04:16:07.711
3201,55.827,04:16:07.711
3202,55.827,04:16:07.711
3203,55.827,04:16:07.711
3204,55.827,04:16:07.711
3205,55.827,04:16:07.711
3206,55.827,04:16:07.711
3207,55.827,04:16:07.711
3208,55.827,04:16:07.711
3209,55.827,04:16:07.711
3210,55.827,04:16:07.711
3211,55.827,04:16:07.711
3212,55.827,04:16:07.711
3213,55.827,04:16:07.711
3214,55.827,04:16:07.711
3215,55.827,04:16:07.711
3216,55.94,04:16:07.732
3217,55.94,04:16:07.732
3218,55.94,04:16:07.732
3219,55.94,04:16:07.732
3220,55.94,04:16:07.732
3221,55.94,04:16:07.732
3222,55.94,04:16:07.732
3223,55.94,04:16:07.732
3224,55.94,04:16:07.732
3225,55.94,04:16:07.732
3226,55.94,04:16:07.732
3227,55.94,04:16:07.732
3228,55.94,04:16:07.732
3229,55.94,04:16:07.732
3230,55.94,04:16:07.732
3231,55.94,04:16:07.732
3232,55.94,04:16:07.732
3233,55.94,04:16:07.732
3234,55.94,04:16:07.732
3235,55.94,04:16:07.732
3236,56.497,04:16:07.752
3237,56.497,04:16:07.752
3238,56.497,04:16:07.752
3239,56.497,04:16:07.752
3240,56.497,04:16:07.752
3241,56.497,04:16:07.752
3242,56.497,04:16:07.752
3243,56.497,04:16:07.752
3244,56.497,04:16:07.752
3245,56.497,04:16:07.752
3246,56.497,04:16:07.752
3247,56.497,04:16:07.752
3248,56.497,04:16:07.752
3249,56.497,04:16:07.752
3250,56.497,04:16:07.752
3251,56.497,04:16:07.752
3252,56.497,04:16:07.752
3253,56.497,04:16:07.752
3254,56.497,04:16:07.752
3255,56.497,04:16:07.752
3256,55.94,04:16:07.773
3257,55.94,04:16:07.773
3258,55.94,04:16:07.773
3259,55.94,04:16:07.773
3260,55.94,04:16:07.773
3261,55.94,04:16:07.773
3262,55.94,04:16:07.773
3263,55.94,04:16:07.773
3264,55.94,04:16:07.773
3265,55.94,04:16:07.773
3266,55.94,04:16:07.773
3267,55.94,04:16:07.773
3268,55.94,04:16:07.773
3269,55.94,04:16:07.773
3270,55.94,04:16:07.773
3271,55.94,04:16:07.773
3272,55.94,04:16:07.773
3273,55.94,04:16:07.773
3274,55.94,04:16:07.773
3275,55.94,04:16:07.773
3276,55.997,04:16:07.793
3277,55.997,04:16:07.793
3278,55.997,04:16:07.793
3279,55.997,04:16:07.793
3280,55.997,04:16:07.793
3281,55.997,04:16:07.793
3282,55.997,04:16:07.793
3283,55.997,04:16:07.793
3284,55.997,04:16:07.793
3285,55.997,04:16:07.793
3286,55.997,04:16:07.793
3287,55.997,04:16:07.793
3288,55.997,04:16:07.793
3289,55.997,04:16:07.793
3290,55.997,04:16:07.793
3291,55.997,04:16:07.793
3292,55.997,04:16:07.793
3293,55.997,04:16:07.793
3294,55.997,04:16:07.793
3295,55.997,04:16:07.793
3296,55.94,04:16:07.814
3297,55.94,04:16:07.814
3298,55.94,04:16:07.814
3299,55.94,04:16:07.814
3300,55.94,04:16:07.814
3301,55.94,04:16:07.814
3302,55.94,04:16:07.814
3303,55.94,04:16:07.814
3304,55.94,04:16:07.814
3305,55.94,04:16:07.814
3306,55.94,04:16:07.814
3307,55.94,04:16:07.814
3308,55.94,04:16:07.814
3309,55.94,04:16:07.814
3310,55.94,04:16:07.814
3311,55.94,04:16:07.814
3312,55.94,04:16:07.814
3313,55.94,04:16:07.814
3314,55.94,04:16:07.814
3315,55.94,04:16:07.814
3316,55.94,04:16:07.814
3317,55.827,04:16:07.834
3318,55.827,04:16:07.834
3319,55.827,04:16:07.834
3320,55.827,04:16:07.834
3321,55.827,04:16:07.834
3322,55.827,04:16:07.834
3323,55.827,04:16:07.834
3324,55.827,04:16:07.834
3325,55.827,04:16:07.834
3326,55.827,04:16:07.834
3327,55.827,04:16:07.834
3328,55.827,04:16:07.834
3329,55.827,04:16:07.834
3330,55.827,04:16:07.834
3331,55.827,04:16:07.834
3332,55.827,04:16:07.834
3333,55.827,04:16:07.834
3334,55.827,04:16:07.834
3335,55.827,04:16:07.834
3336,55.827,04:16:07.855
3337,55.827,04:16:07.855
3338,55.827,04:16:07.855
3339,55.827,04:16:07.855
3340,55.827,04:16:07.855
